unit,vehicle,mot_nrg,geo\time,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1987 
NR,BUS_TOT,GAS,FI,0 ,0 ,0 ,12 ,4 ,13 ,9 ,3 ,1 ,2 ,31 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,FR,84 ,: ,: ,129 ,110 ,165 ,284 ,141 ,139 ,384 ,243 ,247 ,237 ,163 ,101 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,HR,: z,1 ,: z,61 ,: z,: z,: ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,HU,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,: ,0 ,: ,: ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,IE,0 ,0 ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,IS,: ,: ,: ,: ,: ,: ,: ,2 e,0 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,IT,123 ,206 ,246 ,242 ,390 ,443 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,LI,: ,: ,0 ,3 ,1 ,3 ,6 ,: ,0 ,0 ,: ,19 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,LT,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,LU,: ,: ,: ,: ,6 ,0 ,4 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,LV,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,MT,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,NO,: ,: ,: ,: ,: ,0 ,: ,: z,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,PL,: ,: ,: ,: z,: ,: z,: z,: z,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,SE,: ,342 ,: ,195 ,102 ,92 ,142 ,112 ,46 ,0 ,1 ,34 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,SI,: ,: ,: ,: ,: ,: ,: z,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,GAS,UK,: ,: ,: ,: ,: ,: ,: ,3 ,1 ,1 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,AT,1 ,29 ,43 ,79 ,27 ,38 ,31 ,38 ,25 ,19 ,31 ,15 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,BE,: ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,CH,0 n,0 e,0 ,: ,: ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,CY,0 ,0 ,0 ,0 ,: ,0 ,: z,: z,: z,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,DE,0 ,0 ,3 ,2 ,5 ,2 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,EE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,FI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,: ,: ,: ,: ,1 ,: ,: ,: 
NR,BUS_TOT,LPG,FR,1 ,: ,: ,2 ,0 ,36 ,1 ,7 ,5 ,6 ,1 ,25 ,28 ,73 ,8 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,HR,: z,: z,: z,: z,: z,: z,: ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,HU,: ,: ,: ,: ,8 ,8 ,5 ,4 ,12 ,: ,4 ,: ,: ,1 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,LPG,IE,0 ,0 ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
